tract_name,median_income,total_population,white_population,black_population,asian_population,state,county,tract,tract_geoid,white_pct,black_pct,asian_pct
Census Tract 49.08; Sacramento County; California,88551,5445,1065,615,1698,06,067,004908,06067004908,0.19559228650137742,0.11294765840220386,0.31184573002754823
Census Tract 49.09; Sacramento County; California,56591,2638,399,577,830,06,067,004909,06067004909,0.15125094768764216,0.21872630780894617,0.3146322971948446
Census Tract 49.10; Sacramento County; California,67404,4543,429,356,1527,06,067,004910,06067004910,0.09443099273607748,0.07836231565045125,0.33612150561303106
Census Tract 50.02; Sacramento County; California,44147,7176,742,869,1908,06,067,005002,06067005002,0.10340022296544035,0.12109810479375696,0.26588628762541805
Census Tract 50.03; Sacramento County; California,85208,4309,992,740,1404,06,067,005003,06067005003,0.2302158273381295,0.1717335808772337,0.3258296588535623
Census Tract 50.04; Sacramento County; California,103550,4110,339,201,1946,06,067,005004,06067005004,0.08248175182481751,0.04890510948905109,0.4734793187347932
Census Tract 51.01; Sacramento County; California,75217,5611,697,613,1459,06,067,005101,06067005101,0.12422028158973444,0.1092496881126359,0.2600249509891285
Census Tract 51.02; Sacramento County; California,55256,3784,902,463,1066,06,067,005102,06067005102,0.23837209302325582,0.12235729386892177,0.2817124735729387
Census Tract 52.01; Sacramento County; California,53095,3546,1136,423,358,06,067,005201,06067005201,0.320360970107163,0.11928934010152284,0.10095882684715173
Census Tract 52.02; Sacramento County; California,97625,3451,2225,137,220,06,067,005202,06067005202,0.6447406548826428,0.03969863807592002,0.06374963778614894
Census Tract 52.04; Sacramento County; California,88453,4852,3184,277,306,06,067,005204,06067005204,0.6562242374278648,0.05708985985160758,0.06306677658697445
Census Tract 52.05; Sacramento County; California,56645,3716,1911,880,185,06,067,005205,06067005205,0.5142626480086114,0.23681377825618946,0.04978471474703983
Census Tract 53.01; Sacramento County; California,94861,2332,1214,336,222,06,067,005301,06067005301,0.5205831903945112,0.14408233276157806,0.09519725557461406
Census Tract 54.02; Sacramento County; California,66202,2799,1376,336,672,06,067,005402,06067005402,0.4916041443372633,0.12004287245444802,0.24008574490889603
Census Tract 54.03; Sacramento County; California,76712,2052,1526,13,154,06,067,005403,06067005403,0.7436647173489279,0.006335282651072124,0.07504873294346978
Census Tract 54.04; Sacramento County; California,130185,6263,4521,566,192,06,067,005404,06067005404,0.7218585342487626,0.09037202618553408,0.030656235031135237
